R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,R_kd_bout,B_kd_bout,R_sig_str_landed_bout,B_sig_str_landed_bout,R_sig_str_attempted_bout,B_sig_str_attempted_bout,R_sig_str_pct_bout,B_sig_str_pct_bout,R_tot_str_landed_bout,B_tot_str_landed_bout,R_tot_str_attempted_bout,B_tot_str_attempted_bout,R_td_landed_bout,B_td_landed_bout,R_td_attempted_bout,B_td_attempted_bout,R_td_pct_bout,B_td_pct_bout,R_sub_attempts_bout,B_sub_attempts_bout,R_pass_bout,B_pass_bout,R_rev_bout,B_rev_bout,R_rating,B_rating
Jimmie Rivera,Thomas Almeida,-185,160,54.05405405,160,7/22/2017,"Uniondale, New York, USA", USA,Red,FALSE,Bantamweight,MALE,3,0,1,0,41.66666667,0.463333333,0,0,0,4,1,10,0,0,0,1,4,0,0,5,Southpaw,170.18,177.8,135,0,4,0,52.5,0.4325,0,0.75,0.125,4,0,10,0,0,1,2,1,0,0,4,Orthodox,162.56,172.72,135,28,25,0,-3,0,1,-1,0,0,3,0,7.62,5.08,3,-10.83333333,0,-0.75,0,1,9,4,,,,,,,,,,,4,,,,,,,,,,,,,9,,,Red,U-DEC,,3,5:00,900,2,0,70,72,160,167,0.43,0.43,75,72,165,167,2,0,6,0,0.33,0,0,0,0,0,0,0,1360.638215082106,1268.6465777784547
Lyman Good,Elizeu Zaleski dos Santos,-150,130,66.66666667,130,7/22/2017,"Uniondale, New York, USA", USA,Blue,FALSE,Welterweight,MALE,3,0,2,0,54.33333333,0.4,1,0.333333333,0.333333333,2,1,9,0,0,0,1,1,0,0,2,Orthodox,180.34,185.42,170,0,1,0,55,0.51,0,0,0,1,0,2,0,0,0,0,1,0,0,1,Orthodox,182.88,187.96,170,32,30,0,1,1,1,-1,7,0,0,0,-2.54,-2.54,2,-0.66666667,1,0.333333333,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3,5:00,900,0,0,75,83,165,219,0.45,0.37,89,84,182,220,1,1,1,7,1,0.14,0,0,0,0,0,0,1200.9570633665883,1268.7239571008042
Rafael Natal,Eryk Anders,-105,-115,95.23809524,86.95652174,7/22/2017,"Uniondale, New York, USA", USA,Blue,FALSE,Middleweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Southpaw,185.42,190.5,185,2,0,0,40.125,0.468125,0.4375,2.25,0.2725,4,7,43,0,0,2,5,1,1,0,9,Orthodox,182.88,193.04,185,34,30,2,0,-4,-9,7,-43,0,-1,-1,2.54,-2.54,4,-40.125,-0.4375,-2.25,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1,2:54,174,0,1,14,23,23,29,0.6,0.79,15,23,24,29,0,1,1,2,0,0.5,0,0,0,2,0,0,1219.1061482945286,1239.0223427272365
Ryan LaFlare,Alex Oliveira,-175,155,57.14285714,155,7/22/2017,"Uniondale, New York, USA", USA,Blue,FALSE,Welterweight,MALE,3,0,1,0,24.77777778,0.505555556,0.555555556,2.333333333,0.261111111,3,3,20,0,0,0,2,2,2,0,6,Orthodox,180.34,193.04,170,0,2,0,51.85714286,0.392857143,0.285714286,2.857142857,0.377142857,4,1,23,0,0,0,6,0,0,0,6,Southpaw,185.42,187.96,170,33,29,0,-1,-1,0,-2,-3,0,2,2,-5.08,5.08,4,-27.07936508,0.26984127,-0.523809524,0,1,,14,,,,,,,,14,,,,,,,,,,,,,,,,,,,Red,KO/TKO,Punch,2,1:50,410,0,1,5,8,14,21,0.35,0.38,8,8,17,21,0,0,2,1,0,0,0,1,2,0,0,0,1317.7827332618588,1376.3519882163296
Damian Grabowski,Chase Sherman,205,-245,205,40.81632653,7/22/2017,"Uniondale, New York, USA", USA,Blue,FALSE,Heavyweight,MALE,3,0,1,0,60.66666667,0.366666667,0,0,0,1,2,7,0,0,0,0,1,0,0,1,Orthodox,193.04,198.12,250,2,0,0,1,0.33,0,0,0,0,2,2,0,0,0,0,0,0,0,0,Orthodox,185.42,190.5,241,37,27,2,1,1,1,0,5,0,1,0,7.62,7.62,10,59.66666667,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,0,0,68,111,188,228,0.36,0.48,69,112,190,229,0,0,5,0,0,0,0,0,0,0,0,0,1113.5223586881184,1200.0461918743536
Kyle Bochniak,Jeremy Kennedy,245,-290,245,34.48275862,7/22/2017,"Uniondale, New York, USA", USA,Blue,FALSE,Featherweight,MALE,3,0,2,0,36.5,0.5,0,6.5,0.615,2,0,6,0,0,0,2,0,0,0,2,Orthodox,180.34,180.34,145,0,1,0,46.5,0.345,0,1,0.265,1,1,6,0,0,1,0,0,0,0,1,Orthodox,170.18,177.8,145,30,24,0,1,1,1,1,0,0,0,0,10.16,2.54,6,-10,0,5.5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,0,0,23,41,54,94,0.42,0.43,43,59,76,118,0,8,0,14,0,0.57,0,0,0,4,0,0,1180.2275051248648,1287.2688562181006
Brian Kelleher,Marlon Vera,-235,195,42.55319149,195,7/22/2017,"Uniondale, New York, USA", USA,Blue,FALSE,Bantamweight,MALE,3,0,2,0,35.2,0.452,1.2,0.6,0.298,2,2,14,0,0,0,1,1,1,0,3,Switch,172.72,177.8,135,0,1,0,4,0.26,1,0,0,1,0,1,0,0,0,0,0,1,0,1,Switch,167.64,167.64,135,30,24,0,1,1,2,-2,13,0,1,0,5.08,10.16,6,31.2,0.2,0.6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Armbar,1,2:18,138,0,0,8,5,16,15,0.5,0.33,14,5,22,15,1,0,3,0,0.33,0,0,2,0,0,0,0,1210.810256520202,1263.4725357265465
Tim Johnson,Junior Albini,-280,240,35.71428571,240,7/22/2017,"Uniondale, New York, USA", USA,Blue,FALSE,Heavyweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,190.5,187.96,264,0,1,0,37.6,0.426,0,1.2,0.314,1,2,13,0,0,1,1,1,0,0,3,Southpaw,190.5,195.58,265,32,26,0,-1,-1,-3,2,-13,0,-1,0,0,-7.62,6,-37.6,0,-1.2,0,1,,12,,,,,12,,,,,,,,,,,,,,,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200.7642044787597,1236.5514628060473
Shane Burgos,Godofredo Pepey,-700,500,14.28571429,500,7/22/2017,"Uniondale, New York, USA", USA,Red,FALSE,Featherweight,MALE,3,0,1,0,14.77777778,0.415555556,0.888888889,0.222222222,0.111111111,3,4,15,1,0,1,0,1,3,0,5,Orthodox,170.18,185.42,145,0,2,0,75,0.42,0,0.5,0.5,2,0,6,0,0,0,1,1,0,0,2,Orthodox,180.34,190.5,145,26,30,0,-1,1,3,-4,9,1,0,3,-10.16,-5.08,-4,-60.22222222,0.888888889,-0.277777778,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,3,0,102,51,197,177,0.51,0.28,144,52,243,178,1,0,1,14,1,0,0,0,0,0,0,0,1294.8738352528599,1222.4253090036934
Frankie Perez,Chris Wade,300,-360,300,27.77777778,7/22/2017,"Uniondale, New York, USA", USA,Blue,FALSE,Lightweight,MALE,3,2,0,0,19,0.396666667,0.666666667,1.833333333,0.501666667,4,2,14,0,0,0,2,0,2,0,4,Orthodox,177.8,177.8,155,1,0,0,16,0.533333333,0.333333333,0.666666667,0.193333333,1,2,7,0,0,0,0,1,0,0,1,Orthodox,180.34,185.42,155,28,29,-1,0,3,3,0,7,0,-1,2,-2.54,-7.62,-1,3,0.333333334,1.166666666,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,0,0,22,23,63,43,0.34,0.53,53,51,99,79,3,3,5,8,0.6,0.37,0,2,0,7,0,1,1150.8700215273122,1260.6873592948502
Gunnar Nelson,Santiago Ponzinibbio,-174,164,57.47126437,164,7/16/2017,"Glasgow, Scotland, United Kingdom", United Kingdom,Blue,FALSE,Welterweight,MALE,5,0,4,0,39.375,0.4,0,0.125,0.04125,4,2,17,0,0,0,3,3,0,0,6,Orthodox,182.88,185.42,170,0,2,0,19.77777778,0.621111111,0.777777778,1.111111111,0.694444444,4,2,20,0,0,0,1,0,6,0,7,Switch,180.34,182.88,170,28,30,0,2,0,-1,0,-3,0,3,-6,2.54,2.54,-2,19.59722222,-0.777777778,-0.986111111,0,1,14,8,,,,,,,,8,,,,,,,,,,,,,14,,,,,,Red,KO/TKO,Punches,1,1:22,82,0,1,5,7,7,12,0.71,0.58,5,7,7,12,0,0,0,0,0,0,0,0,0,0,0,0,1318.2022068734555,1369.2764844937738
Joanne Calderwood,Cynthia Calvillo,180,-220,180,45.45454545,7/16/2017,"Glasgow, Scotland, United Kingdom", United Kingdom,Blue,FALSE,Women's Strawweight,FEMALE,3,0,2,0,31.5,0.395,3,1,1,2,0,4,0,0,0,0,0,2,0,2,Orthodox,162.56,162.56,115,1,0,0,67.6,0.524,0,1.6,0.35,2,2,11,0,0,0,2,1,0,0,3,Orthodox,167.64,165.1,125,31,30,1,2,0,-1,2,-7,0,-1,2,-5.08,-2.54,1,-36.1,3,-0.6,0,1,14,8,,,8,,,,,,,,,,,,,14,,,,,,,,,,,Red,U-DEC,,3,5:00,900,0,0,63,54,176,111,0.35,0.48,68,62,181,119,0,2,0,5,0,0.4,0,2,0,2,1,0,1201.8756581060657,1288.4775544965041
Stevie Ray,Paul Felder,-185,160,54.05405405,160,7/16/2017,"Glasgow, Scotland, United Kingdom", United Kingdom,Blue,FALSE,Lightweight,MALE,3,0,1,0,41.75,0.41375,0.375,0.375,0.1875,2,3,21,0,0,1,1,2,1,0,5,Orthodox,180.34,177.8,155,0,2,0,43,0.448333333,0.666666667,0.333333333,0.221666667,3,1,15,0,1,1,1,2,0,0,5,Southpaw,177.8,177.8,155,27,33,0,-1,-1,0,-2,6,0,0,1,2.54,0,-6,-1.25,-0.291666667,0.041666667,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Elbow,1,3:57,237,0,1,5,23,9,35,0.55,0.65,11,28,15,41,0,0,1,0,0,0,0,0,0,1,0,0,1272.7573936151848,1310.353917189199
Jack Marshman,Ryan Janes,-500,400,20,400,7/16/2017,"Glasgow, Scotland, United Kingdom", United Kingdom,Red,FALSE,Middleweight,MALE,3,1,0,0,42.5,0.375,0,0.5,0.5,1,1,4,0,0,0,1,0,0,0,1,Orthodox,190.5,193.04,185,1,0,0,24,0.295,0,0,0,1,1,4,0,0,0,0,1,0,0,1,Orthodox,182.88,185.42,185,27,35,0,0,0,0,0,0,0,-1,0,7.62,7.62,-8,18.5,0,0.5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,0,0,75,83,217,189,0.34,0.43,83,119,225,227,0,0,0,0,0,0,0,0,0,0,0,0,1240.019369610585,1168.7531235250406
Khalil Rountree Jr.,Paul Craig,-145,125,68.96551724,125,7/16/2017,"Glasgow, Scotland, United Kingdom", United Kingdom,Red,FALSE,Light Heavyweight,MALE,3,1,0,0,21.5,0.565,1.5,0.5,0.25,1,1,3,0,0,0,0,0,1,0,1,Orthodox,190.5,193.04,205,0,1,0,6.666666667,0.643333333,0,0,0,1,2,5,1,0,0,0,1,0,0,1,Southpaw,185.42,193.04,205,27,29,-1,-1,0,0,1,-2,-1,-1,1,5.08,0,-2,14.83333333,1.5,0.5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1,4:56,296,1,0,15,17,47,29,0.31,0.58,15,17,47,29,0,0,0,1,0,0,0,0,0,0,0,0,1211.1223037536795,1170.4618246430277
James Mulheron,Justin Willis,130,-140,130,71.42857143,7/16/2017,"Glasgow, Scotland, United Kingdom", United Kingdom,Blue,FALSE,Heavyweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Southpaw,185.42,198.12,264,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,185.42,243,29,29,0,0,0,0,0,0,0,0,0,7.62,12.7,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,0,0,36,52,114,91,0.31,0.57,56,72,136,114,0,3,0,4,0,0.75,0,0,0,2,0,0,1168.0,1232.0
Danny Roberts,Bobby Nash,-190,165,52.63157895,165,7/16/2017,"Glasgow, Scotland, United Kingdom", United Kingdom,Red,FALSE,Welterweight,MALE,3,1,0,0,39,0.36,2,1,0.25,0,1,2,0,0,0,0,0,0,0,0,Orthodox,182.88,187.96,170,1,0,0,49,0.39,0.333333333,0,0,2,1,7,0,0,0,1,0,1,0,2,Southpaw,185.42,187.96,170,30,27,0,0,-2,-2,0,-5,0,0,-1,-2.54,0,3,-10,1.666666667,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,2,3:59,539,1,0,24,25,65,63,0.36,0.39,29,46,71,91,0,2,1,5,0,0.4,0,0,0,1,0,0,1251.1136339983314,1144.452460240741
Alexandre Pantoja,Neil Seery,-350,290,28.57142857,290,7/16/2017,"Glasgow, Scotland, United Kingdom", United Kingdom,Red,FALSE,Flyweight,MALE,3,1,0,0,43.66666667,0.406666667,1.666666667,0.833333333,0.288333333,2,3,17,0,0,0,2,0,1,0,3,Orthodox,162.56,162.56,125,0,1,0,37,0.37,2,1,0.33,1,0,3,0,0,1,0,0,0,0,1,Orthodox,165.1,170.18,125,27,37,-1,-1,1,2,-3,14,0,0,1,-2.54,-7.62,-10,6.66666667,-0.333333333,-0.166666667,0,1,,14,,,,,,,,,,,,14,,,,,,,,,,,,,,,Red,SUB,Rear Naked Choke,3,2:31,751,1,0,119,82,227,183,0.52,0.44,131,90,239,192,1,0,1,2,1,0,1,0,2,0,0,0,1261.6467632765757,1183.1561237940641
Charlie Ward,Galore Bofando,175,-210,175,47.61904762,7/16/2017,"Glasgow, Scotland, United Kingdom", United Kingdom,Blue,FALSE,Welterweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Switch,180.34,182.88,170,1,0,0,2,0.14,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Orthodox,180.34,185.42,170,36,35,1,0,0,0,1,-1,0,0,0,0,-2.54,1,-2,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Slam,1,2:10,130,0,0,3,10,12,25,0.25,0.4,4,10,13,25,0,1,1,1,0,1,0,0,0,0,0,0,1139.910108900872,1228.089891099128
Danny Henry,Daniel Teymur,150,-170,150,58.82352941,7/16/2017,"Glasgow, Scotland, United Kingdom", United Kingdom,Red,FALSE,Lightweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,165.1,175.26,145,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,182.88,185.42,145,28,29,0,0,0,0,0,0,0,0,0,-17.78,-10.16,-1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,1,0,93,69,174,129,0.53,0.53,153,78,243,139,1,0,3,2,0.33,0,2,0,8,0,0,0,1232.0,1168.0
Brett Johns,Albert Morales,-350,290,28.57142857,290,7/16/2017,"Glasgow, Scotland, United Kingdom", United Kingdom,Red,FALSE,Bantamweight,MALE,3,0,1,0,51,0.333333333,0,0.666666667,0.276666667,1,2,8,0,0,1,0,0,0,0,1,Orthodox,175.26,182.88,135,0,1,0,49,0.61,0,11,0.73,1,0,3,0,0,0,1,0,0,0,1,Orthodox,170.18,180.34,135,25,26,0,0,0,0,-2,5,0,0,0,5.08,2.54,-1,2,0,-10.33333333,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,0,0,56,28,104,115,0.53,0.24,172,63,231,157,3,0,5,0,0.6,0,1,0,2,0,0,0,1262.0195615070306,1185.833048121636
Leslie Smith,Amanda Lemos,-225,185,44.44444444,185,7/16/2017,"Glasgow, Scotland, United Kingdom", United Kingdom,Red,FALSE,Women's Bantamweight,FEMALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Southpaw,162.56,165.1,135,0,1,0,62.66666667,0.365,0,0,0,1,3,13,0,0,0,2,1,0,0,3,Orthodox,175.26,167.64,135,34,30,0,-1,-1,-3,3,-13,0,-1,0,-12.7,-2.54,4,-62.66666667,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Elbows,2,2:53,473,0,0,101,68,192,106,0.52,0.64,114,70,207,108,0,1,0,1,0,1,0,0,0,1,0,0,1235.4358799041147,1168.4809708210837
Yoel Romero,Robert Whittaker,110,-130,110,76.92307692,7/8/2017,"Las Vegas, Nevada, USA", USA,Blue,TRUE,Middleweight,MALE,5,0,7,0,52,0.451818182,0,0.363636364,0.272727273,7,2,25,1,0,0,4,5,0,0,9,Orthodox,182.88,185.42,185,0,8,0,37.25,0.5975,0,1.625,0.31125,8,0,22,0,0,1,1,6,0,0,8,Southpaw,182.88,185.42,185,40,26,0,-1,-1,1,-2,3,1,-1,0,0,0,14,14.75,0,-1.261363636,0,1,3,1,,,,,,,1,,,,,,,,,,,,,3,,,,,,,Red,U-DEC,,5,5:00,1500,,,,,,,,,,,,,,,,,,,,,,,,,1429.6045608738245,1468.2578594045033
Fabricio Werdum,Alistair Overeem,120,-140,120,71.42857143,7/8/2017,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Heavyweight,MALE,3,0,1,0,35.54545455,0.737272727,0.090909091,0.272727273,0.227272727,4,4,21,1,0,0,2,5,0,0,7,Orthodox,193.04,203.2,265,0,1,0,48.41666667,0.585,0.25,0.5,0.138333333,6,3,27,3,0,0,3,4,2,0,9,Orthodox,193.04,195.58,231,39,37,0,0,-2,-2,-1,-6,-2,1,-2,0,7.62,2,-12.87121212,-0.159090909,-0.227272727,0,1,3,1,,,,,1,,,,,,,,,,,,,3,,,,,,,,,Red,M-DEC,,3,5:00,900,,,,,,,,,,,,,,,,,,,,,,,,,1384.2585631653303,1410.8191496615043
Daniel Omielanczuk,Curtis Blaydes,470,-640,470,15.625,7/8/2017,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Heavyweight,MALE,3,1,0,0,33.66666667,0.6,0,5,0.653333333,1,2,6,0,0,0,0,1,0,0,1,Orthodox,193.04,203.2,265,2,0,0,35.125,0.65,0.125,0.5,0.21625,3,4,21,0,2,0,0,2,0,0,4,Southpaw,182.88,187.96,247,34,26,1,0,-2,-3,2,-15,0,-1,0,10.16,15.24,8,-1.45833333,-0.125,4.5,0,1,,15,,,,,15,,,,,,,,,,,,,,,,,,,,,,Red,U-DEC,,3,5:00,900,,,,,,,,,,,,,,,,,,,,,,,,,1171.8581793830924,1237.096989183602
Anthony Pettis,Jim Miller,-235,195,42.55319149,195,7/8/2017,"Las Vegas, Nevada, USA", USA,Red,FALSE,Lightweight,MALE,3,1,0,0,29.92307692,0.365769231,1.5,1.230769231,0.428846154,7,9,62,0,0,2,6,3,6,0,17,Southpaw,172.72,180.34,155,1,0,0,33.18181818,0.454545455,0.363636364,0.545454545,0.06,5,5,28,4,0,1,0,2,3,0,6,Orthodox,177.8,182.88,170,30,33,0,0,2,11,-4,34,-4,1,3,-5.08,-2.54,-3,-3.25874126,1.136363636,0.685314686,0,1,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,,,,,,,,,,,,,,,,,,,,,,,,,1335.1984535884703,1286.6003342496858
Rob Font,Douglas Silva de Andrade,-265,225,37.73584906,225,7/8/2017,"Las Vegas, Nevada, USA", USA,Red,FALSE,Bantamweight,MALE,3,0,2,0,46,0.336666667,0,0.333333333,0.333333333,2,1,9,0,0,0,1,1,0,0,2,Orthodox,170.18,172.72,135,0,1,0,32.5,0.53,0.25,0.5,0.3,2,1,7,0,0,0,0,3,0,0,3,Orthodox,172.72,180.34,135,30,32,0,1,0,-1,0,2,0,-2,0,-2.54,-7.62,-2,13.5,-0.25,-0.166666667,0,1,,15,,,,,,,,,,,15,,,,,,,,,,,,,,,,Red,SUB,Guillotine Choke,2,4:36,576,,,,,,,,,,,,,,,,,,,,,,,,,1292.9040589305346,1204.4900616571717
Travis Browne,Aleksei Oleinik,-290,245,34.48275862,245,7/8/2017,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Heavyweight,MALE,3,0,1,0,9.5,0.45,1,1.25,0.205,2,1,6,0,0,0,0,1,2,0,3,Orthodox,187.96,203.2,240,3,0,0,22.8125,0.46375,0.125,0.625,0.30125,3,7,29,0,0,0,1,7,1,0,9,Orthodox,198.12,200.66,255,34,40,3,1,-1,-6,6,-23,0,-6,1,-10.16,2.54,-6,-13.3125,0.875,0.625,0,1,14,9,,,,,9,,,,,,,,,,,,,14,,,,,,,,,Red,SUB,Rear Naked Choke,2,3:44,524,,,,,,,,,,,,,,,,,,,,,,,,,1245.0783206573599,1290.8987485755592
Chad Laprise,Brian Camozzi,-550,425,18.18181818,425,7/8/2017,"Las Vegas, Nevada, USA", USA,Red,FALSE,Welterweight,MALE,3,1,0,0,11,0.31,1,0,0,0,1,2,0,0,0,0,0,0,0,0,Orthodox,187.96,198.12,170,0,1,0,48.83333333,0.435,0,0.666666667,0.095,3,2,14,1,0,1,2,1,0,0,4,Orthodox,177.8,180.34,170,30,26,-1,-1,-3,-4,1,-12,-1,-1,0,10.16,17.78,4,-37.83333333,1,-0.666666667,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,3,1:27,687,,,,,,,,,,,,,,,,,,,,,,,,,1271.7690160139107,1149.2546883498662
Thiago Santos,Gerald Meerschaert,-160,140,62.5,140,7/8/2017,"Las Vegas, Nevada, USA", USA,Red,FALSE,Middleweight,MALE,3,0,2,0,8.5,0.455,1,0,0,2,0,2,0,0,0,0,0,2,0,2,Southpaw,185.42,195.58,185,0,1,0,17.6,0.419,0,0.2,0.1,4,4,15,0,0,0,1,5,0,0,6,Orthodox,187.96,193.04,205,33,29,0,1,-2,-4,4,-13,0,-5,2,-2.54,2.54,4,-9.1,1,-0.2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,2,2:04,424,,,,,,,,,,,,,,,,,,,,,,,,,1296.567704118036,1229.4438383532195
Jordan Mein,Belal Muhammad,115,-135,115,74.07407407,7/8/2017,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Welterweight,MALE,3,0,1,0,54.25,0.395,0,1.75,0.35,1,2,10,0,0,0,1,1,0,0,2,Orthodox,180.34,182.88,170,2,0,0,30,0.513333333,0,1.166666667,0.266666667,2,3,12,0,0,1,0,2,0,0,3,Orthodox,182.88,185.42,170,27,28,2,1,-1,-1,1,-2,0,-1,0,-2.54,-2.54,-1,24.25,0,0.583333333,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,,,,,,,,,,,,,,,,,,,,,,,,,1190.976928381188,1257.7475837260083
Cody Stamann,Terrion Ware,-245,205,40.81632653,205,7/8/2017,"Las Vegas, Nevada, USA", USA,Red,FALSE,Featherweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,180.34,135,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,167.64,162.56,135,27,31,0,0,0,0,0,0,0,0,0,5.08,17.78,-4,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,,,,,,,,,,,,,,,,,,,,,,,,,1232.0,1168.0
Trevin Giles,James Bochnovic,-250,210,40,210,7/8/2017,"Las Vegas, Nevada, USA", USA,Red,FALSE,Light Heavyweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,193.04,205.74,205,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,182.88,187.96,185,24,28,0,0,0,0,0,0,0,0,0,10.16,17.78,-4,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,2,2:54,474,,,,,,,,,,,,,,,,,,,,,,,,,1232.0,1168.0
Michael Johnson,Justin Gaethje,-165,145,60.60606061,145,7/7/2017,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Lightweight,MALE,5,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,180.34,177.8,155,1,0,0,42.6875,0.339375,0.0625,0.4375,0.328125,4,7,40,1,0,0,5,4,0,0,9,Southpaw,177.8,185.42,145,31,28,1,0,-4,-9,7,-40,-1,-4,0,2.54,-7.62,3,-42.6875,-0.0625,-0.4375,0,1,,5,,,,,,,,,5,,,,,,,,,,,,,,,,,,Red,KO/TKO,Knees,2,4:48,588,,,,,,,,,,,,,,,,,,,,,,,,,1266.3806223494294,1244.8904526060232
